,Unnamed: 0,period_from,mpr,account_no,consumption_kWh,cost_per_meter,ccl_total,standing_charge,net_charge,vat_total,total_gas_sales
52,52,2021-06-01,3456,3006320196.0,772.6,12.77,0.0,43.2,55.97,2.8,58.77
53,53,2021-07-01,5678,3006406986.0,41170.1,877.54,191.44,489.18,1558.16,311.64,1869.8
54,54,2021-03-01,9012,3006449314.0,15260.2,232.98,61.96,124.62,419.56,83.91,503.47
55,55,2021-01-01,3456,3006320196.0,6016.0,99.56,24.43,44.64,168.63,33.73,202.36
56,56,2021-10-01,9012,3006449314.0,9860.4,149.58,45.85,137.33,332.76,66.56,399.32
57,57,2022-10-01,9012,3006449314.0,0.0,0.0,0.0,179.49,179.49,8.97,188.46
58,58,2022-11-01,9012,3006449314.0,10323.9,288.95,58.64,173.7,521.29,104.26,625.55
59,59,2022-09-01,9012,3006449314.0,0.0,0.0,0.0,173.7,173.7,8.69,182.39
60,60,2022-02-01,1234,3006320218.0,3975.0,96.12,0.0,33.6,129.72,6.49,136.21
61,61,2021-10-01,7890,3006406997.0,2570920.4,38795.19,11954.78,5824.59,56574.56,11314.92,67889.48
62,62,2021-02-01,1234,3006320218.0,4398.5,70.36,17.86,23.24,111.46,22.29,133.75
63,63,2022-01-01,1234,3006320218.0,4644.6,124.04,21.6,37.2,182.84,36.57,219.41
64,64,2021-05-01,9012,3006449314.0,12647.7,219.5,58.81,137.33,415.64,83.13,498.77
65,65,2022-01-01,5678,3006406986.0,154446.5,4113.84,718.18,489.18,5321.2,1064.25,6385.45
66,66,2022-02-01,5678,3006406986.0,136896.7,3300.85,636.57,441.84,4379.26,875.85,5255.11
67,67,2022-06-01,5678,3006406986.0,34841.9,1331.8,197.9,919.8,2449.5,489.9,2939.4
68,68,2021-12-01,5678,3006406986.0,152879.2,3797.83,710.89,489.18,4997.9,999.59,5997.49
69,69,2022-10-01,3456,3006320196.0,2520.6,78.66,0.0,59.21,137.87,6.89,144.76
70,70,2021-06-01,9012,3006449314.0,6449.5,106.25,29.99,132.9,269.14,53.83,322.97
71,71,2021-11-01,5678,3006406986.0,127715.8,2620.98,593.88,473.4,3688.26,737.66,4425.92
72,72,2021-09-01,5678,3006406986.0,52461.7,1084.85,243.95,473.4,1802.2,360.44,2162.64
73,73,2022-04-01,1234,3006320218.0,2919.7,100.33,0.0,50.4,150.73,7.54,158.27
74,74,2022-10-01,7890,3006406997.0,3590215.8,112043.46,20392.43,1903.4,134339.29,26867.86,161207.15
75,75,2022-09-01,3456,3006320196.0,793.5,35.96,0.0,57.3,93.26,4.67,97.93
76,76,2022-06-01,7890,3006406997.0,3260512.7,124880.9,18519.71,1851.6,145252.21,29050.44,174302.65
77,77,2021-09-01,1234,3006320218.0,627.1,13.01,0.0,36.0,49.01,2.45,51.46
78,78,2021-01-01,5678,3006406986.0,182640.3,3009.91,741.52,438.65,4190.08,838.01,5028.09
79,79,2021-07-01,3456,3006320196.0,314.6,6.73,0.0,44.64,51.37,2.57,53.94
80,80,2022-05-01,9012,3006449314.0,5615.4,209.96,31.9,179.49,421.35,84.27,505.62
81,81,2022-06-01,1234,3006320218.0,949.8,36.38,0.0,50.4,86.78,4.34,91.12
82,82,2022-04-01,5678,3006406986.0,101821.8,3491.16,578.35,919.8,4989.31,997.86,5987.17
83,83,2021-12-01,9012,3006449314.0,16998.3,422.46,79.04,137.33,638.83,127.77,766.6
84,84,2022-11-01,1234,3006320218.0,3214.4,90.18,0.0,50.4,140.58,7.03,147.61
85,85,2022-07-01,3456,3006320196.0,113.0,3.31,0.0,59.21,62.52,3.13,65.65
86,86,2021-08-01,1234,3006320218.0,380.4,8.83,0.0,37.2,46.03,2.3,48.33
87,87,2021-08-01,7890,3006406997.0,2013388.6,46483.1,9362.26,5824.59,61669.95,12333.99,74003.94
88,88,2023-01-01,9012,3006449314.0,22252.7,686.92,126.4,179.49,992.81,198.56,1191.37
89,89,2023-01-01,1234,3006320218.0,4794.8,148.33,27.23,52.08,227.64,45.54,273.18
90,90,2021-04-01,9012,3006449314.0,13142.1,211.64,61.11,132.9,405.65,81.13,486.78
91,91,2022-12-01,9012,3006449314.0,17340.3,780.42,98.49,179.49,1058.4,211.68,1270.08
92,92,2022-12-01,1234,3006320218.0,4644.9,209.36,26.38,52.08,287.82,57.57,345.39
93,93,2022-03-01,7890,3006406997.0,3783551.2,100199.79,17593.51,5824.59,123617.89,24723.58,148341.47
94,94,2021-10-01,3456,3006320196.0,2308.2,35.15,0.0,44.64,79.79,3.99,83.78
95,95,2021-11-01,1234,3006320218.0,4109.6,84.63,0.0,36.0,120.63,6.03,126.66
96,96,2022-07-01,5678,3006406986.0,30508.0,892.3,173.29,950.46,2016.05,403.21,2419.26
97,97,2021-07-01,9012,3006449314.0,5371.3,114.55,24.98,137.33,276.86,55.38,332.24
98,98,2022-07-01,7890,3006406997.0,1821012.8,53401.2,10343.35,1903.4,65647.95,13129.59,78777.54
99,99,2022-09-01,5678,3006406986.0,38968.4,1763.24,221.34,919.8,2904.38,580.88,3485.26
100,100,2022-08-01,1234,3006320218.0,236.9,3.25,0.0,52.08,55.33,2.76,58.09
101,101,2021-08-01,9012,3006449314.0,6902.2,159.9,32.1,137.33,329.33,65.87,395.2
102,102,2021-11-01,9012,3006449314.0,13247.1,272.0,61.6,132.9,466.5,93.3,559.8
103,103,2021-02-01,9012,3006449314.0,14943.7,238.16,60.67,112.56,411.39,82.27,493.66
104,104,2021-07-02,7890,3006406997.0,1309475.5,27821.12,6089.06,5636.7,39546.88,7909.37,47456.25
105,105,2021-05-01,1234,3006320218.0,2516.2,43.82,0.0,37.2,81.02,4.05,85.07
106,106,2022-07-01,9012,3006449314.0,0.0,0.0,0.0,179.49,179.49,8.97,188.46
107,107,2021-03-01,3456,3006320196.0,4460.2,68.36,0.0,44.64,113.0,5.65,118.65
108,108,2022-05-01,7890,3006406997.0,2623140.4,98254.97,14899.44,1913.32,115067.73,23013.54,138081.27
109,109,2021-08-01,3456,3006320196.0,738.3,17.15,0.0,44.64,61.79,3.09,64.88
110,110,2021-03-01,5678,3006406986.0,148510.6,2265.83,602.95,438.65,3307.43,661.49,3968.92
111,111,2021-06-01,1234,3006320218.0,750.2,12.4,0.0,36.0,48.4,2.42,50.82
112,112,2020-12-01,5678,3006406986.0,161650.5,2343.77,656.3,438.65,3438.72,687.74,4126.46
113,113,2021-04-01,3456,3006320196.0,4228.2,68.34,0.0,43.2,111.54,5.58,117.12
114,114,2020-12-01,3456,3006320196.0,5425.6,79.04,22.03,44.64,145.71,29.15,174.86
115,115,2022-04-01,3456,3006320196.0,4083.1,140.31,0.0,57.3,197.61,9.89,207.5
116,116,2022-08-01,7890,3006406997.0,2758676.7,37879.39,17042.57,1903.4,60145.19,12029.05,72174.24
